"scenario_id","TT","n1","L","branching","refine_prob","graph_type","tau_phi","r","alpha_dir","gamma_lambda","lambda_a0","lambda_b0","p","beta0","beta_vals","x_sd","loge_mean","loge_sd","zi_prob","comp_mode","cp_time","cp_strength","q_drift_sd","q_conc","n_rep","seed_base"
"S0",50,10,2,"4",1,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S1_t_small",10,10,2,"4",1,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S1_t_large",100,10,2,"4",1,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S2_n1_small",50,5,2,"4",1,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S2_n1_large",50,30,2,"4",1,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S3_overdisp_strong",50,10,2,"4",1,"grid",2,1,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S3_overdisp_pois",50,10,2,"4",1,"grid",2,100,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S4_alpha_spiky",50,10,2,"4",1,"grid",2,10,1,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S4_alpha_smooth",50,10,2,"4",1,"grid",2,10,100,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S5_icar_smooth",50,10,2,"4",1,"grid",100,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S5_icar_heter",50,10,2,"4",1,"grid",0.5,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
"S6_zi",50,10,2,"4",1,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0.2,"static",0,1,0,10,30,1000
"S6_cp",50,10,2,"4",1,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"changepoint",25,2,0,10,30,1000
"S7_mix",50,10,2,"4",0.8,"grid",2,10,10,0.95,10,10,2,-1,"0.5, 1",1,5,1,0,"static",0,1,0,10,30,1000
